,input,target
46308,anna . . .,anna . . .
46309,jesus come on !,they re not going to make it !
46310,evening .,it can t be .
46311,it can t be .,excuse me ?
46312,excuse me ?,you re warren wayne .
46313,oh thank you .,magnificent magnificent .
46314,magnificent magnificent .,well i appreciate that .
46315,of course of course . . .,so . . .
46316,and what are they doing now mac ?,they are awaiting further information .
46317,there is a high level . . .of passenger,
46318,all too well captain .,well shut it off at once !
46319,you want to go back to shuttle work ?,it s steady good benefits .
46320,no . i m all set . thanks .,well maybe i ll surprise you .
46321,well maybe i ll surprise you .,i can hardly wait .
46322,bridge ! can anyone hear me ? !,yeah yeah yeah give me a minute here .
46323,mac can you hear me ? come in ?,taylor you surprise me .
46324,idiot . . .,good help is hard to find . . .
46325,barnes ?,that s me .
46326,it s time we lock coordinates .,i know i know .
46327,is that clear ?,that s clear .
46328,look at this . . .jesus .,yeah i guess money don t buy class .
46329,we re going to die .,will you shut up already ?
46330,it s getting hard to breathe . . .,just don t move around too much .
46331,what are we going to do ?,i don t know .
46332,probably come through the wall i suppose .,well maybe we can do something like that .
46333,ok . . .it s open .,seen one like it before ?
46334,he certainly is polite .,close every door behind you !
46335,everyone just stay put .,wait .
46336,i don t know what we re facing .,i understand .
46337,are you ready ?,ready as i ll ever be .
46338,yeah . we did it .,so we did .
46339,you re ready for the real thing ?,at this point i m ready for anything .
46340,taylor ?,yeah ?
46341,do you want some advice ?,sure .
46342,i m not going with you .,what ? what are you talking about ?
46343,dawn . come in .,taylor ! where are you ?
46344,i m in the bridge .,barnes ?
46345,i ll do my best .,so what s going to happen to you ?
46346,sooner than later .,over and out .
46347,what the hell are you doing ?,we have room ! let s go !
46348,we have room ! let s go !,what do you mean ? what happened !
46349,so close . . .,and so far .
46350,will you marry me ?,marry you ?
46351,marry you ?,that s right . will you marry me ?
46352,what is it ? !,i don t know . wave to them !
46353,thank you .,is there anything i can help you with ?
46354,is there anything i can help you with ?,no just enjoying the view .
46355,i m going back for taylor !,are you nuts ! it s too risky !
46356,well now what are we gonna do !,how am i supposed to know ?
46357,what the hell is that ?,the engines !
46358,officer taylor how are you this evening ?,mac . what s shaking ?
46359,is it safe for human transport ?,that s affirmative .
46360,i m looking for a man .,what kind of man ?
46361,what kind of man ?,a bowler .
46362,can i get you something for the road ?,you have orange whips ?
46363,haven t seen a ball like that since .,it belonged to my dad .
46364,yeah basement bingo .,lemme see your ball .
46365,ah come on lemme see your ball .,you afraid we re gonna steal it ?
46366,three whips . to go .,when you get a chance .
46367,hey you still here ?,we re looking for buzz fazeli seen him ?
46368,how do you turn this thing off ?,wait ! that s an aria !
46369,think he bought it ?,i d buy it !
46370,i m sure you have buzz .,wish me luck .
46371,buzz fazeli .,theo .
46372,i m not on the tour this year .,need some advice huh .
46373,they suspended me for years .,years !
46374,where d you get this ball ?,it s mine .
46375,it s mine .,who gave it to you ?
46376,who gave it to you ?,grace skinner .
46377,i don t know no grace skinner .,you knew her . you married her in .
46378,what the fuck is this ?,what s it look like to you ?
46379,i m your blood .,you wish !
46380,you got a better offer ?,no . . .
46381,no . . .,i didn t think so .
46382,we ain t married no more .,he says that to all his wives .
46383,the whole world thinks you re underground .,i am underground .
46384,so eh you never saw me . right ?,i never saw you .
46385,i never saw you .,thanks kid . where are you goin now ?
46386,hello ?,hello mom ?
46387,don t tell me john .,cool !
46388,knock knock .,who s there ?
46389,who s there !,buzz fazeli .
46390,you shouldn t touch her .,no junior you shouldn t touch her .
46391,come on sheila knock knock .,who s there ?
46392,who s there ?,junior .
46393,junior .,junior who ?
46394,junior who ?,j you and your friend do it yet ?
46395,look who s talking !,leave him alone !
46396,fantastic ! what talent .,you still got the touch junior .
46397,don t go near the bowling alley .,bowling center !
46398,line up where you want it .,yeah .
46399,is mr . fazeli in please ?,who wants to know ? zeus !
46400,who wants to know ? zeus !,i m a bowler .
46401,get that outta your mouth !,they suspended me .
46402,he s not here .,i m sorry about zeus millie .
46403,buzz fazeli never helps anybody but himself .,he s my father millie .
46404,he s my father millie .,he s no father to you .
46405,where can i find him ?,the peter pan .
46406,what do you want with my dad ?,business .
46407,business .,won t your father help you with that ?
46408,where did your brother escape from ?,the mental hospital .
46409,the mental hospital .,what does he do ?
46410,mind if i cut in ?,no not at all .
46411,can i ask you something personal ?,i d rather you didn t .
46412,i d rather you didn t .,do you have a girlfriend ?
46413,do you have a girlfriend ?,not while i m in training .
46414,not while i m in training .,do you have a boyfriend ?
46415,do you have a boyfriend ?,no . do you ?
46416,no . do you ?,no . not at the present .
46417,unfortunately what he wants is you .,so what about you ?
46418,so what about you ?,do i want you ?
46419,do i want you ?,we ll get into that later .
46420,no i m fascinated .,why were you suspended ?
46421,well that was plan a .,what s plan b ?
46422,what s plan b ?,plan b is your dad .
46423,sheila please .,come on theo what about plan c ?
46424,come on theo what about plan c ?,what s plan c ?
46425,more than you could afford .,come on bargain with me .
46426,come on bargain with me .,i could let them go for ten .
46427,zip .,and besides it s probably too late anyhow .
46428,nothing .,too late for what sheila ?
46429,i can t tell you theo .,why not ?
46430,i m afraid you ll hurt him .,it s junior isn t it .
46431,you told junior that we did it .,it ?
46432,how do you get this thing down ?,tell me what happened theo .
46433,he s dead sheila .,i feel sick .
46434,i feel sick .,you should .
46435,you should .,are you sure he s dead ?
46436,are you sure he s dead ?,i didn t stop to take his pulse .
46437,you don t get two chances with junior .,at least i ll die smiling .
46438,what about plan c ?,fuck plan c !
46439,sez you !,suck my dick !
46440,very professional .,i am a professional man .
46441,i am a professional man .,lips still for sale ?
46442,lane s closed big fellah league night .,i m not here to bowl .
46443,tell your little pal to let go .,breeze give him his ball back !
46444,calm down dr . levine .,let me out captain . open the door !
46445,let me out captain . open the door !,please dr . levine .
46446,fletcher ? what are you doing out there ?,they re like pink snow sir . sticky .
46447,fletcher get away from there . . .,it s burning . . .
46448,it s burning . . .,get out of there !
46449,get out of there !,i can t see . . .
46450,i can t see . . .,fletcher ! now !
46451,fletcher ! now !,i can t . . .
46452,there s heat coming the door .,back away then .
46453,back away then .,wait a minute
46454,wait a minute,i said back away .
46455,i said back away .,would you wait a minute ?
46456,hold on,what is it ?
46457,alright beth do that thing you did before .,how about i just press the button ?
46458,norman !,edmunds do you have a on norman ?
46459,they told me about sixty hours .,two and a half days ?
46460,nobody move .,but she s
46461,but she s,nobody move !
46462,direction s east coming !,what was that ?
46463,what if it attacks ?,fifty yards and closing .
46464,fifty yards and closing .,what do we use for defense ?
46465,forty yards .,but you ve tested it ?
46466,don t do it norman !,do you see it ?
46467,don t do it !,now !
46468,norman please ! don t !,pull it damn it !
46469,thank you colonel .,captain .
46470,captain .,captain . right forgive me .
46471,anything else ?,nothing else .
46472,you talk to any reporters ? any press ?,press ? no i haven t .
46473,we re moving fast considering the storm .,storm ? what storm ?
46474,how deep is he ?,a thousand feet .
46475,then why am i here ?,what ?
46476,what ?,what do you need me for ?
46477,wait a second,dating the crash at least that old .
46478,dating the crash at least that old .,hold on
46479,hold on,maybe older
46480,extraordinary isn t it ?,it s impossible .
46481,what is it norman ?,take a look .
46482,maybe we shouldn t .,what ?
46483,harry s missing .,what do you mean he s missing ?
46484,how drastic ?,you don t want to know .
46485,you don t want to know .,i think i do .
46486,wait a second,and then brought her down here
46487,and then brought her down here,i didn t know it would come to this
46488,going active .,jerry ?
46489,what the hell ? it shut us down .,jerry ? please . stop this .
46490,i see it .,pull it .
46491,can you open that panel ?,working on it now sir .
46492,i m getting no sub reading sir .,they re coming .
46493,any sign of harry ?,nothing sir .
46494,nothing sir .,fuck him . what ? hello ?
46495,nothing sir .,what the hell is going on here ?
46496,yes sir .,well where the fuck is he ?
46497,well where the fuck is he ?,in the ship sir .
46498,they ve left keep watching !,sir ! sir the door it s opening .
46499,ted ? captain ?,yes harry .
46500,so how do we get it open ?,ted seems to have some ideas .
46501,gimme a report i want,ladies and gentlemen . . .
46502,ignorant . the thing s ignorant .,it s not ignorant .
46503,ted get her away from the door .,what are you going to do shoot her ?
46504,look at this .,what is it ?
46505,some sort of lead or something .,radiation shield you think ?
46506,what s wrong ?,what do you make of this ?
46507,how can he be missing ?,sir about leaving
46508,they switched us over .,to what ?
46509,to what ?,internal power .
46510,from the sphere ?,what s inside the sphere .
46511,what is that ?,the sensors are picking up something outside .
46512,the sensors are picking up something outside .,what ?
46513,because when we get down there,wait down where ?
46514,wait down where ?,to the spacecraft . to investigate .
46515,to the spacecraft . to investigate .,underwater ?
46516,norman !,get this thing off me .
